Title;Answers;Confidentiality;Product Type;Description
Do we test the pitch, yaw and roll of the ECSx3030?;"
Yes, we test this for each produced ECSx3030 (left: Aluminum 50 pcs. / right: StainlessSteel 49 pcs.). Please do not share the test report but the values!
";;x3030;
Why is there no HV version of the ECSz5050?;Because otherwise the table will become too heavy and the positioner cannot lift anything. Drive is too weak for HV conditions.;Internal;z5050;
Do we test the lateral runouts of the ECSx3030?;Yes, we test this for each produced ECSx3030 (left: Aluminum 50 pcs. / right: StainlessSteel 49 pcs.). Please do not share the test report but the values!;Internal;x3030;
Is there information about the lateral runout?;"Runout XY:  ~2µm/mm
Runout Z:  ~1µm/mm
These are theoretical values derived from technical drawings";Internal;xy5050;
Do we test the velocity of the ECSx3030?;Yes, we test this for each produced ECSx3030 (left: Aluminum 50 pcs. / right: StainlessSteel 49 pcs.). Velocity @ 45 V, 1 kHz.  Please do not share the test report but the values!;Internal;x3030;
Do the NUM sensors show Non-Linearities?;"Yes, based on one measurement the non-linearities are expected to be around +-200 nm. (this only affects the aboslute accuracy, but not the repeatability)
Comparable non-linearities can be expected in any kind of NUM sensor/Encoder for nanopositioners, also the ones of our competitors.
More information can be found in this strictly internal test report: ";Internal;x3030;
Why is there no HV version of the ECSz3030?;Because otherwise the table will become too heavy and the positioner cannot lift anything. Drive is too weak for HV conditions.;Internal;z3030;
Do we test the pitch, yaw and roll of the ECSx3050?;Yes, we test this for each produced ECSx3050 (left: Aluminum 9 pcs. / Right: Stainless-steel 8 pcs.);Internal;x3050;
"Do we test the lateral runouts of the ECSx3050?	";Yes, we test this for each produced ECSx3050 (left: Aluminum 9 pcs. / right: StainlessSteel 8 pcs.);Internal;x3050;
Do we test the velocity of the ECSx3050?;Yes, we test this for each produced ECSx3050 with 40V and 1 kHz (left: Aluminum 9 pcs. / right: StainlessSteel 8 pcs.):;Internal;x3050;
"Do we test the pitch, yaw and roll of the ECSx5050?	";Yes, we test this for each produced ECSx5050 (left: Aluminum 75 pcs. / right: StainlessSteel 73 pcs.):;Internal;x5050;
Do we test the lateral runouts of the ECSx5050?;Yes, we test this for each produced ECSx5050 (left: Aluminum 75 pcs. / right: StainlessSteel 73 pcs.):;Internal;x5050;
"Do we test the velocity of the ECSx5050?	";"Yes, we test this for each produced ECSx5050 (left: Aluminum 75 pcs. / right: StainlessSteel 73 pcs.):

";Internal;x5050;
"Is the ECSx5050 magnetic? Is there an estimate in the magnetic field strength?	";"The magnetic properties of the ECSx5050/StSt/NUM/HV were tested by a customer in December 2021. They measured the following magnetic field strength:

4 μT at 30mm distance, and
ca. 8 μT at 7mm distance
Furthermore, notice that the magnetic field is:

especially strong at the guide rail and its screws (if they are not covered)
rather strong in the middle (above the attocube logo): ca. 4μT @ 30mm

Internal information: For further details see the measurement protocol by external laboratory FILE_1
. (only available in German)";Public;x5050;
"Is there a optimal frequency to drive the ECSx5050?	";"The correct choice of the frequency is not a crucial factor for the measurements if no load is applied on the linear positioner. However, once there is any weight put on the linear positioner, one should consider choosing the right frequency to move the positioner more efficiently. One should be beware of the slight difference in the optimal frequencies for the forward and backward direction of the movement in case the load is applied.

For further details please read PDF_1.";Internal;x5050;
What is the specific wobble of the ECR3030/NUM/Al?;"<0,7 mrad
";Public;3030;
What is the specific wobble of the ECR4040/NUM? ;"<0,7 mrad
";Public;4040;
"Where is the reference position of the ECR positioners?	";Further information can be found in this drawing: PDF_1;Internal;"4040;#3030;#5050hs";
How does the grease affect the vacuum compatibility of the EC* positioners?;"UHV versions of the rotators and goniometers of our EC*-Series are only specified down to 10-9 mbar and not down to 10-11 mbar as the linear ECS positioners. The limitation is caused by the used grease (Ultratherm). It is not possible built up an ECR without grease. The vapor pressure of the grease is temperature-dependent:

Vapor pressure at 100°C :1 · 10-8 hPa / 7.5 · 10-9 Torr / 1 · 10-8 mbar
Vapor pressure at 20°C :1 · 10-12 hPa / 7.5 · 10-13 Torr / 1 · 10-12 mbar
Vapor pressure at 200°C :1 · 10-5 hPa / 7.5 · 10-6 Torr / 1 · 10-5 mbar
Vapor pressure at 250°C :1 · 10-4 hPa / 7.5 · 10-5 Torr / 1 · 10-4 mbar
Lubricating capacity : good/ very good
Temperature range         :-60 – 280 °C / -76-536 °F / 213-553K


If a customer wants to bake out, they could do that, but it would lead to a ""dirty"" vacuum chamber due to the high outgassing rate.

If you do have a customer who needs pressure down to 10^-11 mbar, please contact ST and we will try our best to find a solution.";Internal;"4040;#3030;#5050hs";
"What is the specific wobble of the ECR5050hs/NUM?	";"< 1 mrad
";Public;5050hs;
"What is the definition of ""wobble""?	";Wobble is the position-dependent angular misalignment of the real axis of rotation relative to its ideal axis. Wobble is often cyclic in nature and is caused by the imperfect nature of mechanical components. It is defined for one full rotation (360°) and does not include any static offset of the rotating axis to an interface or mounting plate. ;Public;5050hs;
"How is the ""wobble"" of a rotator measured?	";"The ECR/NUM series has been tested with our testbench""Randy"" over the last years. After data collection and evaluation, we are ow able to specify ""wobble"" values for these positioners. This will be tested as part of outgoing quality control, the specifications listed below already include a factory of saftey. Please note that we are only able to test and specify closed loop (/NUM) versions.


This is based on having 3 sensor heads, mounted along a fixed XYZ coordinate system above the rotator, measuring the Z component deviations during the rotation. With the values of two out of these 3 sensor heads we get the pitch value and the roll value respectively, as well as the hight deviation along Z from all 3 sensor heads. The result is a measurement as shown in the screenshot on the right.";Semi-internal;5050hs;
Information regarding mechanical tolerances of the ECR5050hs:;"What is the nominal diameter of the center hole, on the top rotating table?
What are the tolerances of the center hole diameter?
What is the concentricity of the center hole relative to the bearing (eccentricity)?
Tolerance of the 15mm stage thickness? Parallelism of the table top surface to the stage base?
The relevant information can be found in the drawing on the right.

For high resolution, see the original document: PDF_1";Public;5050hs;
"What is the difference between an ECGt and an ECGp goniometer?	";"ECGt is a Θ-positioner, while ECGp is a Φ-positioner.
Each size of goniometer is available in two versions which are usually used as a pair for theta (Θ) and phi (Φ) motion.
The Θ positioner mounted on top of the Φ positioner forms a tip-tilt stage with a common center of rotation.
 Mounting is done directly via two or four screws.
Combinations with other positioners are e.g. explained at EC* Adapter Plates (EAPs). ";Public;t5050;
"What is the difference between an ECGp and an ECGt goniometer?	";ECGt is a Θ-positioner, while ECGp is a Φ-positioner. Each size of goniometer is available in two versions which are usually used as a pair for theta (Θ) and phi (Φ) motion. The Θ positioner mounted on top of the Φ positioner forms a tip-tilt stage with a common center of rotation. Mounting is done directly via two or four screws. Combinations with other positioners are e.g. explained at EC* Adapter Plates (EAPs). ;Public;p5050;
"How can you determine the power consumption of an AMC Controller?	";"Theory:

The formular to compute the power usage per controller (consisting of 3 axis each) is:

PAMC300 = 18 W + (Ua1² × f1 × C1) + (Ua2² × f2 × C2) + (Ua3² × f3 × C3)

PAMC100 = 8 W + (Ua1² × f1 × C1) + (Ua2² × f2 × C2) + (Ua3² × f3 × C3)


There is about 18 W of idle state power consumption per AMC300 board (for AMC100 board onyl 5-8 W).
Additionally, there is a necessary amount of power per axis (1 to 3) that drives the attached positioner, which is determined by the formula Ua² * f * C . Here, Ua  denotes the driving voltage,f the driving frequency and C the attached piezo capacitance, which depends on the connected positioner.";Public;AMC;"Example:

As an example, consider the following positioners simultaneously run by an AMC300:

ECR5050hs/AL/NUM/RT à C = 720 nF
ECGt5050/Al/NUM/RT à C = 1110 nF
ECGp5050/Al/NUM/RT à C = 1110 nF
Also, consider an exemplary standard setting across all axes of

driving voltage:       Ua1-3 = 40 V
driving frequency:  f1-3 = 1000 Hz  
With the above values, the formula for the power consumption returns:

P = 18 W + (40 V * 40 V * 1000 Hz * 720 nF) + (40 V * 40 V * 1000 Hz * 1110 nF) + (40 V * 40 V * 1000 Hz * 1110 nF) = 5 W + 1.15 W + 1.77 W + 1.77 W = 22.69 W

--> Thus, the power consumption amounts to about 23 W for this board when driving the 3 positioners simultaneously."
"Is the attoDISCOVERY Software compatible with Linux?	";"Yes, for more information on how to install the attoDISCOVERY Software, see AMC300 User Manual Section 6.10.
";Public;AMC;
"Does attocube use free and open source software?	";"Yes, more information can be found in the About tab of the controller in the webinterface.
";Public;AMC;
"Is there a Step file of the positioner connector?	";YES, check attached  .STEP file;Public;;
"Is there an AMCC cable for extra long distances?	";"Yes, please ask PM.

internal:

Yes, there is a cust. special AMCC cable (1024999) connecting the AMC and the Feedthrough with distances of up to 15m.
Please aks PM before selling and keep in mind that this still is a prototype cable and therefore also looks different (2 parallel cables, see picture):";Public;AMCC Connection Cables;
"How long are the 3 individual cables of the AMCC/3/RES/D-Sub-15/2.0/(U)HV?	";The image below on the left is misleading as it shows that the cable splits into the three individual cables after a certain length. In reality, the cables are separated over the entire length, meaning that each of the three cables has a length of ~2m (see PDF ).;Public;AMCC Connection Cables;
"Is there any further information on the specifications of the wires used for the AN* positioner cables?	";Yes, please find the wire specifications here (AWG 32, Grad 2): Wire_Specifications.pdf;Internal;AMCC Connection Cables;
The AMC300 also shows /PRO and /IO feature, do I have to quote it seperately?;No. The /PRO and /IO feature is always included within the std. AMC300 articles (table top, rack version, futur OEM).;Public;AMC300;
"What is included for the AMC300?	";"/PRO and /IO feature, the wireless DS4 (""Playstation"") controller incl. cable and USB dongle, power supply, and as many cables for RT testing as axis ordered (--> e.g. 5 axis rack controller comes with 5 RT cables).
";Public;AMC300;
"What can or should be ordered in addition?	";"Most of the times a suitable cable is needed, if the customer uses a SubD15 feedthrough or bought our EVFT the suitable controller cable can be offered (AMCC/3/RES/D-Sub-15/2.0/(U)HV 1020369). Another option is to quote him the Toolbox RES cabling for AMC300 (1021013) for building their own suitable cable. For inside the chamber the AVC cable can be suitable (depends once again on used feedthrough). More info within Cabling Overview.pdf
";Public;AMC300;
